חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
1,4.20%,0.00%,100000,750,400,350,0,0,0,99600
2,4.20%,0.00%,99600,750,401,349,0,0,0,99199
3,4.20%,0.00%,99199,750,403,347,0,0,0,98797
4,4.20%,0.00%,98797,750,404,346,0,0,0,98393
5,4.20%,0.00%,98393,750,405,344,0,0,0,97987
6,4.20%,0.00%,97987,750,407,343,0,0,0,97580
7,4.20%,0.00%,97580,750,408,342,0,0,0,97172
8,4.20%,0.00%,97172,750,410,340,0,0,0,96763
9,4.20%,0.00%,96763,750,411,339,0,0,0,96351
10,4.20%,0.00%,96351,750,413,337,0,0,0,95939
11,4.20%,0.00%,95939,750,414,336,0,0,0,95525
12,4.20%,0.00%,95525,750,415,334,0,0,0,95110
13,4.20%,0.00%,95110,750,417,333,0,0,0,94693
14,4.20%,0.00%,94693,750,418,331,0,0,0,94274
15,4.20%,0.00%,94274,750,420,330,0,0,0,93855
16,4.20%,0.00%,93855,750,421,328,0,0,0,93433
17,4.20%,0.00%,93433,750,423,327,0,0,0,93011
18,4.20%,0.00%,93011,750,424,326,0,0,0,92586
19,4.20%,0.00%,92586,750,426,324,0,0,0,92161
20,4.20%,0.00%,92161,750,427,323,0,0,0,91733
21,4.20%,0.00%,91733,750,429,321,0,0,0,91305
22,4.20%,0.00%,91305,750,430,320,0,0,0,90875
23,4.20%,0.00%,90875,750,432,318,0,0,0,90443
24,4.20%,0.00%,90443,750,433,317,0,0,0,90010
25,4.20%,0.00%,90010,750,435,315,0,0,0,89575
26,4.20%,0.00%,89575,750,436,314,0,0,0,89139
27,4.20%,0.00%,89139,750,438,312,0,0,0,88701
28,4.20%,0.00%,88701,750,439,310,0,0,0,88262
29,4.20%,0.00%,88262,750,441,309,0,0,0,87821
30,4.20%,0.00%,87821,750,442,307,0,0,0,87379
31,4.20%,0.00%,87379,750,444,306,0,0,0,86935
32,4.20%,0.00%,86935,750,445,304,0,0,0,86489
33,4.20%,0.00%,86489,750,447,303,0,0,0,86042
34,4.20%,0.00%,86042,750,449,301,0,0,0,85593
35,4.20%,0.00%,85593,750,450,300,0,0,0,85143
36,4.20%,0.00%,85143,750,452,298,0,0,0,84692
37,4.20%,0.00%,84692,750,453,296,0,0,0,84238
38,4.20%,0.00%,84238,750,455,295,0,0,0,83783
