חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
91,4.80%,0.00%,86527,525,179,346,0,0,0,80641
92,4.80%,0.00%,86348,525,179,345,0,0,0,80388
93,4.80%,0.00%,86169,525,180,345,0,0,0,80135
94,4.80%,0.00%,85989,525,181,344,0,0,0,79881
95,4.80%,0.00%,85808,525,181,343,0,0,0,79625
96,4.80%,0.00%,85627,525,182,343,0,0,0,79369
97,4.80%,0.00%,85445,525,183,342,0,0,0,79112
98,4.80%,0.00%,85262,525,184,341,0,0,0,78853
99,4.80%,0.00%,85078,525,184,340,0,0,0,78594
100,4.80%,0.00%,84894,525,185,340,0,0,0,78334
101,4.80%,0.00%,84709,525,186,339,0,0,0,78073
102,4.80%,0.00%,84523,525,187,338,0,0,0,77810
103,4.80%,0.00%,84336,525,187,337,0,0,0,77547
104,4.80%,0.00%,84149,525,188,337,0,0,0,77283
105,4.80%,0.00%,83961,525,189,336,0,0,0,77018
106,4.80%,0.00%,83772,525,190,335,0,0,0,76751
107,4.80%,0.00%,83583,525,190,334,0,0,0,76484
108,4.80%,0.00%,83392,525,191,334,0,0,0,76216
109,4.80%,0.00%,83201,525,192,333,0,0,0,75946
110,4.80%,0.00%,83009,525,193,332,0,0,0,75676
111,4.80%,0.00%,82817,525,193,331,0,0,0,75405
112,4.80%,0.00%,82623,525,194,330,0,0,0,75132
113,4.80%,0.00%,82429,525,195,330,0,0,0,74859
114,4.80%,0.00%,82234,525,196,329,0,0,0,74584
115,4.80%,0.00%,82038,525,197,328,0,0,0,74308
116,4.80%,0.00%,81842,525,197,327,0,0,0,74032
117,4.80%,0.00%,81645,525,198,327,0,0,0,73754
118,4.80%,0.00%,81446,525,199,326,0,0,0,73475
119,4.80%,0.00%,81248,525,200,325,0,0,0,73195
120,4.80%,0.00%,81048,525,200,324,0,0,0,72914
121,4.80%,0.00%,80847,525,201,323,0,0,0,72632
122,4.80%,0.00%,80646,525,202,323,0,0,0,72349
123,4.80%,0.00%,80444,525,203,322,0,0,0,72065
124,4.80%,0.00%,80241,525,204,321,0,0,0,71780
125,4.80%,0.00%,80037,525,205,320,0,0,0,71493
126,4.80%,0.00%,79833,525,205,319,0,0,0,71206
127,4.80%,0.00%,79628,525,206,319,0,0,0,70917
128,4.80%,0.00%,79421,525,207,318,0,0,0,70628
129,4.80%,0.00%,79214,525,208,317,0,0,0,70337
130,4.80%,0.00%,79007,525,209,316,0,0,0,70045
131,4.80%,0.00%,78798,525,209,315,0,0,0,69752
132,4.80%,0.00%,78589,525,210,314,0,0,0,69458
133,4.80%,0.00%,78378,525,211,314,0,0,0,69163
134,4.80%,0.00%,78167,525,212,313,0,0,0,68866
135,4.80%,0.00%,77955,525,213,312,0,0,0,68569
136,4.80%,0.00%,77742,525,214,311,0,0,0,68270
137,4.80%,0.00%,77529,525,215,310,0,0,0,67970
138,4.80%,0.00%,77314,525,215,309,0,0,0,67669
139,4.80%,0.00%,77099,525,216,308,0,0,0,67367
140,4.80%,0.00%,76882,525,217,308,0,0,0,67064
141,4.80%,0.00%,76665,525,218,307,0,0,0,66759
142,4.80%,0.00%,76447,525,219,306,0,0,0,66454
143,4.80%,0.00%,76228,525,220,305,0,0,0,66147
144,4.80%,0.00%,76009,525,221,304,0,0,0,65839
145,4.80%,0.00%,75788,525,222,303,0,0,0,65530
146,4.80%,0.00%,75566,525,222,302,0,0,0,65220
147,4.80%,0.00%,75344,525,223,301,0,0,0,64908
148,4.80%,0.00%,75121,525,224,300,0,0,0,64595
149,4.80%,0.00%,74897,525,225,300,0,0,0,64281
150,4.80%,0.00%,74671,525,226,299,0,0,0,63966
151,4.80%,0.00%,74445,525,227,298,0,0,0,63650
152,4.80%,0.00%,74219,525,228,297,0,0,0,63332
153,4.80%,0.00%,73991,525,229,296,0,0,0,63014
154,4.80%,0.00%,73762,525,230,295,0,0,0,62694
155,4.80%,0.00%,73532,525,231,294,0,0,0,62373
156,4.80%,0.00%,73302,525,231,293,0,0,0,62050
157,4.80%,0.00%,73071,525,232,292,0,0,0,61726
158,4.80%,0.00%,72838,525,233,291,0,0,0,61402
159,4.80%,0.00%,72605,525,234,290,0,0,0,61075
160,4.80%,0.00%,72371,525,235,289,0,0,0,60748
161,4.80%,0.00%,72135,525,236,289,0,0,0,60419
162,4.80%,0.00%,71899,525,237,288,0,0,0,60089
163,4.80%,0.00%,71662,525,238,287,0,0,0,59758
164,4.80%,0.00%,71424,525,239,286,0,0,0,59426
165,4.80%,0.00%,71185,525,240,285,0,0,0,59092
166,4.80%,0.00%,70945,525,241,284,0,0,0,58757
167,4.80%,0.00%,70704,525,242,283,0,0,0,58421
168,4.80%,0.00%,70463,525,243,282,0,0,0,58083
169,4.80%,0.00%,70220,525,244,281,0,0,0,57744
170,4.80%,0.00%,69976,525,245,280,0,0,0,57404
