חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
1,4.00%,0.00%,100000,1012,679,333,0,0,0,99321
2,4.00%,0.00%,99321,1012,681,331,0,0,0,98640
3,4.00%,0.00%,98640,1012,684,329,0,0,0,97956
4,4.00%,0.00%,97956,1012,686,327,0,0,0,97270
5,4.00%,0.00%,97270,1012,688,324,0,0,0,96582
6,4.00%,0.00%,96582,1012,691,322,0,0,0,95891
7,4.00%,0.00%,95891,1012,693,320,0,0,0,95198
8,4.00%,0.00%,95198,1012,695,317,0,0,0,94503
9,4.00%,0.00%,94503,1012,697,315,0,0,0,93806
10,4.00%,0.00%,93806,1012,700,313,0,0,0,93106
11,4.00%,0.00%,93106,1012,702,310,0,0,0,92404
12,4.00%,0.00%,92404,1012,704,308,0,0,0,91700
13,4.00%,0.00%,91700,1012,707,306,0,0,0,90993
14,4.00%,0.00%,90993,1012,709,303,0,0,0,90284
15,4.00%,0.00%,90284,1012,712,301,0,0,0,89572
16,4.00%,0.00%,89572,1012,714,299,0,0,0,88858
17,4.00%,0.00%,88858,1012,716,296,0,0,0,88142
18,4.00%,0.00%,88142,1012,719,294,0,0,0,87423
19,4.00%,0.00%,87423,1012,721,291,0,0,0,86702
20,4.00%,0.00%,86702,1012,723,289,0,0,0,85979
21,4.00%,0.00%,85979,1012,726,287,0,0,0,85253
22,4.00%,0.00%,85253,1012,728,284,0,0,0,84525
23,4.00%,0.00%,84525,1012,731,282,0,0,0,83794
24,4.00%,0.00%,83794,1012,733,279,0,0,0,83061
25,4.00%,0.00%,83061,1012,736,277,0,0,0,82325
26,4.00%,0.00%,82325,1012,738,274,0,0,0,81587
27,4.00%,0.00%,81587,1012,740,272,0,0,0,80847
28,4.00%,0.00%,80847,1012,743,269,0,0,0,80104
29,4.00%,0.00%,80104,1012,745,267,0,0,0,79358
30,4.00%,0.00%,79358,1012,748,265,0,0,0,78610
31,4.00%,0.00%,78610,1012,750,262,0,0,0,77860
32,4.00%,0.00%,77860,1012,753,260,0,0,0,77107
33,4.00%,0.00%,77107,1012,755,257,0,0,0,76352
34,4.00%,0.00%,76352,1012,758,255,0,0,0,75594
35,4.00%,0.00%,75594,1012,760,252,0,0,0,74833
36,4.00%,0.00%,74833,1012,763,249,0,0,0,74070
37,4.00%,0.00%,74070,1012,766,247,0,0,0,73305
