חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
1,4.40%,0.00%,100000,627,261,367,0,0,0,99600
2,4.40%,0.00%,99739,627,262,366,0,0,0,99199
3,4.40%,0.00%,99478,627,263,365,0,0,0,98797
4,4.40%,0.00%,99215,627,263,364,0,0,0,98393
5,4.40%,0.00%,98952,627,264,363,0,0,0,97987
6,4.40%,0.00%,98687,627,265,362,0,0,0,97580
7,4.40%,0.00%,98422,627,266,361,0,0,0,97172
8,4.40%,0.00%,98156,627,267,360,0,0,0,96763
9,4.40%,0.00%,97888,627,268,359,0,0,0,96351
10,4.40%,0.00%,97620,627,269,358,0,0,0,95939
11,4.40%,0.00%,97351,627,270,357,0,0,0,95525
12,4.40%,0.00%,97080,627,271,356,0,0,0,95110
13,4.40%,0.00%,96809,627,272,355,0,0,0,94693
14,4.40%,0.00%,96537,627,273,354,0,0,0,94274
15,4.40%,0.00%,96263,627,274,353,0,0,0,93855
16,4.40%,0.00%,95989,627,275,352,0,0,0,93433
17,4.40%,0.00%,95714,627,276,351,0,0,0,93011
18,4.40%,0.00%,95437,627,277,350,0,0,0,92586
19,4.40%,0.00%,95160,627,278,349,0,0,0,92161
20,4.40%,0.00%,94882,627,279,348,0,0,0,91733
21,4.40%,0.00%,94602,627,280,347,0,0,0,91305
22,4.40%,0.00%,94322,627,281,346,0,0,0,90875
23,4.40%,0.00%,94041,627,282,345,0,0,0,90443
24,4.40%,0.00%,93758,627,283,344,0,0,0,90010
25,4.40%,0.00%,93475,627,285,343,0,0,0,89575
26,4.40%,0.00%,93190,627,286,342,0,0,0,89139
27,4.40%,0.00%,92905,627,287,341,0,0,0,88701
28,4.40%,0.00%,92618,627,288,340,0,0,0,88262
29,4.40%,0.00%,92330,627,289,339,0,0,0,87821
30,4.40%,0.00%,92042,627,290,337,0,0,0,87379
31,4.40%,0.00%,91752,627,291,336,0,0,0,86935
32,4.40%,0.00%,91461,627,292,335,0,0,0,86489
33,4.40%,0.00%,91169,627,293,334,0,0,0,86042
34,4.40%,0.00%,90876,627,294,333,0,0,0,85593
35,4.40%,0.00%,90582,627,295,332,0,0,0,85143
36,4.40%,0.00%,90287,627,296,331,0,0,0,84692
37,4.40%,0.00%,89991,627,297,330,0,0,0,84238
38,4.40%,0.00%,89693,627,298,329,0,0,0,83783
39,4.40%,0.00%,89395,627,299,328,0,0,0,83327
40,4.40%,0.00%,89096,627,301,327,0,0,0,82869
41,4.40%,0.00%,88795,627,302,326,0,0,0,82409
42,4.40%,0.00%,88493,627,303,324,0,0,0,81948
43,4.40%,0.00%,88190,627,304,323,0,0,0,81485
44,4.40%,0.00%,87887,627,305,322,0,0,0,81020
45,4.40%,0.00%,87582,627,306,321,0,0,0,80554
46,4.40%,0.00%,87275,627,307,320,0,0,0,80086
47,4.40%,0.00%,86968,627,308,319,0,0,0,79617
48,4.40%,0.00%,86660,627,310,318,0,0,0,79146
49,4.40%,0.00%,86350,627,311,317,0,0,0,78673
50,4.40%,0.00%,86040,627,312,315,0,0,0,78198
51,4.40%,0.00%,85728,627,313,314,0,0,0,77722
52,4.40%,0.00%,85415,627,314,313,0,0,0,77245
53,4.40%,0.00%,85101,627,315,312,0,0,0,76765
54,4.40%,0.00%,84786,627,316,311,0,0,0,76284
55,4.40%,0.00%,84469,627,318,310,0,0,0,75801
56,4.40%,0.00%,84152,627,319,309,0,0,0,75317
57,4.40%,0.00%,83833,627,320,307,0,0,0,74831
58,4.40%,0.00%,83513,627,321,306,0,0,0,74343
59,4.40%,0.00%,83192,627,322,305,0,0,0,73854
60,4.40%,0.00%,82870,627,323,304,0,0,0,73362
61,4.40%,0.00%,82546,627,325,303,0,0,0,72869
62,4.40%,0.00%,82222,627,326,301,0,0,0,72375
63,4.40%,0.00%,81896,627,327,300,0,0,0,71878
64,4.40%,0.00%,81569,627,328,299,0,0,0,71380
65,4.40%,0.00%,81241,627,329,298,0,0,0,70880
66,4.40%,0.00%,80912,627,331,297,0,0,0,70378
67,4.40%,0.00%,80581,627,332,295,0,0,0,69875
68,4.40%,0.00%,80249,627,333,294,0,0,0,69370
69,4.40%,0.00%,79916,627,334,293,0,0,0,68863
70,4.40%,0.00%,79582,627,335,292,0,0,0,68354
71,4.40%,0.00%,79246,627,337,291,0,0,0,67844
72,4.40%,0.00%,78910,627,338,289,0,0,0,67331
73,4.40%,0.00%,78572,627,339,288,0,0,0,66817
74,4.40%,0.00%,78233,627,340,287,0,0,0,66301
75,4.40%,0.00%,77892,627,342,286,0,0,0,65784
76,4.40%,0.00%,77551,627,343,284,0,0,0,65264
77,4.40%,0.00%,77208,627,344,283,0,0,0,64743
78,4.40%,0.00%,76863,627,345,282,0,0,0,64220
79,4.40%,0.00%,76518,627,347,281,0,0,0,63695
80,4.40%,0.00%,76171,627,348,279,0,0,0,63168
81,4.40%,0.00%,75823,627,349,278,0,0,0,62639
82,4.40%,0.00%,75474,627,351,277,0,0,0,62109
83,4.40%,0.00%,75124,627,352,275,0,0,0,61576
84,4.40%,0.00%,74772,627,353,274,0,0,0,61042
